song,artist,song_clean,artist_clean
Gonna Get This,Hannah Montana Featuring Iyaz,Gonna Get This,Hannah Montana
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,Waka Waka,Shakira
The End,Kings Of Leon,The End,Kings Of Leon
Way Out Here,Josh Thompson,Way Out Here,Josh Thompson
Speak Now,Taylor Swift,Speak Now,Taylor Swift
Rap Song,T-Pain Featuring Rick Ross,Rap Song,T-Pain
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,B.M.F.,Rick Ross
Tighten Up,The Black Keys,Tighten Up,The Black Keys
Our Kind Of Love,Lady Antebellum,Our Kind Of Love,Lady Antebellum
All About Tonight,Blake Shelton,All About Tonight,Blake Shelton
Got Your Back,T.I. Featuring Keri Hilson,Got Your Back,T.I.
Lucky,Glee Cast,Lucky,Glee Cast
"River Deep, Mountain High",Glee Cast,"River Deep, Mountain High",Glee Cast
Happy Days Are Here Again / Get Happy,Glee Cast,Happy Days Are Here Again / Get Happy,Glee Cast
Don't Go Breaking My Heart,Glee Cast,Don't Go Breaking My Heart,Glee Cast
Move That Body,Nelly Featuring T-Pain & Akon,Move That Body,Nelly
Miss Me,Drake Featuring Lil Wayne,Miss Me,Drake
Little Miss,Sugarland,Little Miss,Sugarland
Your Love,Nicki Minaj,Your Love,Nicki Minaj
This,Darius Rucker,This,Darius Rucker
Sing!,Glee Cast,Sing!,Glee Cast
Pretty Good At Drinkin' Beer,Billy Currington,Pretty Good At Drinkin' Beer,Billy Currington
A Year Without Rain,Selena Gomez & The Scene,A Year Without Rain,Selena Gomez
Little White Church,Little Big Town,Little White Church,Little Big Town
Le Jazz Hot,Glee Cast,Le Jazz Hot,Glee Cast
Gonorrhea,Lil Wayne Featuring Drake,Gonorrhea,Lil Wayne
POWER,Kanye West,POWER,Kanye West
The Catalyst,Linkin Park,The Catalyst,Linkin Park
I Want To Hold Your Hand,Glee Cast,I Want To Hold Your Hand,Glee Cast
One Of Us,Glee Cast,One Of Us,Glee Cast
"Hey, Soul Sister",Train,"Hey, Soul Sister",Train
Ridin' Solo,Jason Derulo,Ridin' Solo,Jason Derulo
Only The Good Die Young,Glee Cast,Only The Good Die Young,Glee Cast
The Only Exception,Paramore,The Only Exception,Paramore
Teach Me How To Dougie,Cali Swag District,Teach Me How To Dougie,Cali Swag District
Losing My Religion,Glee Cast,Losing My Religion,Glee Cast
Papa Can You Hear Me?,Glee Cast,Papa Can You Hear Me?,Glee Cast
Bridge Over Troubled Water,Glee Cast,Bridge Over Troubled Water,Glee Cast
I Look To You,Glee Cast,I Look To You,Glee Cast
Half Of My Heart,John Mayer,Half Of My Heart,John Mayer
La La La,Auburn Featuring Iyaz,La La La,Auburn
The Lazy Song,Bruno Mars,The Lazy Song,Bruno Mars
Like We Used To,A Rocket To The Moon,Like We Used To,A Rocket To The Moon
Toxic,Glee Cast,Toxic,Glee Cast
The Only Exception,Glee Cast,The Only Exception,Glee Cast
Billionaire,Travie McCoy Featuring Bruno Mars,Billionaire,Travie McCoy
What's Wrong With Them,Lil Wayne Featuring Nicki Minaj,What's Wrong With Them,Lil Wayne
Need You Now,Lady Antebellum,Need You Now,Lady Antebellum
I'm A Slave 4 U,Glee Cast,I'm A Slave 4 U,Glee Cast
Stronger,Glee Cast,Stronger,Glee Cast
Baby One More Time,Glee Cast,Baby One More Time,Glee Cast
Me Against The Music,Glee Cast,Me Against The Music,Glee Cast
I Am Not A Human Being,Lil Wayne,I Am Not A Human Being,Lil Wayne
Bill Gates,Lil Wayne,Bill Gates,Lil Wayne
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,Na Na Na,My Chemical Romance
Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius,Hope She Cheats On You,Marsha Ambrosius
Empire State Of Mind,Glee Cast,Empire State Of Mind,Glee Cast
Pretty Boy Swag,Soulja Boy Tell'em,Pretty Boy Swag,Soulja Boy Tell'em
Telephone,Glee Cast,Telephone,Glee Cast
Billionaire,Glee Cast,Billionaire,Glee Cast
Listen,Glee Cast,Listen,Glee Cast
Find Your Love,Drake,Find Your Love,Drake
Breakeven,The Script,Breakeven,The Script
What I Did For Love,Glee Cast,What I Did For Love,Glee Cast
Free,Zac Brown Band,Free,Zac Brown Band
Stutter,Maroon 5,Stutter,Maroon 5
Round & Round,Selena Gomez & The Scene,Round & Round,Selena Gomez
Break My Bank,New Boyz Featuring Iyaz,Break My Bank,New Boyz
Loving You No More,Diddy - Dirty Money Featuring Drake,Loving You No More,Diddy - Dirty Money
Bittersweet,Fantasia,Bittersweet,Fantasia
Erase Me,Kid Cudi Featuring Kanye West,Erase Me,Kid Cudi
Smile,Uncle Kracker,Smile,Uncle Kracker
Love Like Crazy,Lee Brice,Love Like Crazy,Lee Brice
Somebody To Love,Justin Bieber Featuring Usher,Somebody To Love,Justin Bieber
Hold You (Hold Yuh),Gyptian,Hold You,Gyptian
Glitter In The Air,P!nk,Glitter In The Air,P!nk
U Smile,Justin Bieber,U Smile,Justin Bieber
Trailerhood,Toby Keith,Trailerhood,Toby Keith
Break Your Heart,Taio Cruz Featuring Ludacris,Break Your Heart,Taio Cruz
Undo It,Carrie Underwood,Undo It,Carrie Underwood
"Lover, Lover",Jerrod Niemann,"Lover, Lover",Jerrod Niemann
Dumb Love,Sean Kingston,Dumb Love,Sean Kingston
I'm In,Keith Urban,I'm In,Keith Urban
Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,Gettin' Over You,David Guetta
Rockstar 101,Rihanna Featuring Slash,Rockstar 101,Rihanna
This Ain't Nothin',Craig Morgan,This Ain't Nothin',Craig Morgan
Introducing Me,Nick Jonas,Introducing Me,Nick Jonas
The Man Who Can't Be Moved,The Script,The Man Who Can't Be Moved,The Script
Champagne Life,Ne-Yo,Champagne Life,Ne-Yo
Bulletproof,La Roux,Bulletproof,La Roux
Alejandro,Lady Gaga,Alejandro,Lady Gaga
There Goes My Baby,Usher,There Goes My Baby,Usher
Impossible,Shontelle,Impossible,Shontelle
Ride,Ciara Featuring Ludacris,Ride,Ciara
Kissin U,Miranda Cosgrove,Kissin U,Miranda Cosgrove
My First Kiss,3OH!3 Featuring Ke$ha,My First Kiss,3OH!3
Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson,Bed Intruder Song,Antoine Dodson
Last Friday Night (T.G.I.F.),Katy Perry,Last Friday Night,Katy Perry
143,Bobby Brackins Featuring Ray J,143,Bobby Brackins
Rock That Body,The Black Eyed Peas,Rock That Body,The Black Eyed Peas
Mockingbird,Rob Thomas,Mockingbird,Rob Thomas
E.T.,Katy Perry Featuring Kanye West,E.T.,Katy Perry
Your Love Is My Drug,Ke$ha,Your Love Is My Drug,Ke$ha
Un-Thinkable (I'm Ready),Alicia Keys,Un-Thinkable,Alicia Keys
Give A Little More,Maroon 5,Give A Little More,Maroon 5
Water,Brad Paisley,Water,Brad Paisley
Black Rain,Soundgarden,Black Rain,Soundgarden
This Afternoon,Nickelback,This Afternoon,Nickelback
Circle The Drain,Katy Perry,Circle The Drain,Katy Perry
Hello Good Morning,Diddy - Dirty Money Featuring T.I.,Hello Good Morning,Diddy - Dirty Money
Lose My Mind,Young Jeezy Featuring Plies,Lose My Mind,Young Jeezy
Lay Me Down,The Dirty Heads Featuring Rome,Lay Me Down,The Dirty Heads
Nothin' On You,B.o.B Featuring Bruno Mars,Nothin' On You,B.o.B
Not Like The Movies,Katy Perry,Not Like The Movies,Katy Perry
Rain Is A Good Thing,Luke Bryan,Rain Is A Good Thing,Luke Bryan
I Never Told You,Colbie Caillat,I Never Told You,Colbie Caillat
The House That Built Me,Miranda Lambert,The House That Built Me,Miranda Lambert
Beautiful Monster,Ne-Yo,Beautiful Monster,Ne-Yo
Pray For You,Jaron And The Long Road To Love,Pray For You,Jaron
We'll Be A Dream,WE the Kings Featuring Demi Lovato,We'll Be A Dream,WE the Kings
Crazy Town,Jason Aldean,Crazy Town,Jason Aldean
Sex Room,Ludacris Featuring Trey Songz,Sex Room,Ludacris
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win,DJ Khaled
In My Head,Jason Derulo,In My Head,Jason Derulo
Haven't Met You Yet,Michael Buble,Haven't Met You Yet,Michael Buble
G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,G.R.I.N.D.,Asher Roth
Nightmare,Avenged Sevenfold,Nightmare,Avenged Sevenfold
She Won't Be Lonely Long,Clay Walker,She Won't Be Lonely Long,Clay Walker
The Crow & The Butterfly,Shinedown,The Crow & The Butterfly,Shinedown
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,Cuando Me Enamoro,Enrique Iglesias
Over,Drake,Over,Drake
Can't Be Tamed,Miley Cyrus,Can't Be Tamed,Miley Cyrus
Ordinary Girl,Hannah Montana,Ordinary Girl,Hannah Montana
Eenie Meenie,Sean Kingston & Justin Bieber,Eenie Meenie,Sean Kingston
If We Ever Meet Again,Timbaland Featuring Katy Perry,If We Ever Meet Again,Timbaland
Opposite Of Adults,Chiddy Bang,Opposite Of Adults,Chiddy Bang
The Man I Want To Be,Chris Young,The Man I Want To Be,Chris Young
Wavin' Flag,K'Naan,Wavin' Flag,K'Naan
Rude Boy,Rihanna,Rude Boy,Rihanna
Telephone,Lady Gaga Featuring Beyonce,Telephone,Lady Gaga
Whataya Want From Me,Adam Lambert,Whataya Want From Me,Adam Lambert
My Chick Bad,Ludacris Featuring Nicki Minaj,My Chick Bad,Ludacris
Gimmie That Girl,Joe Nichols,Gimmie That Girl,Joe Nichols
Shark In The Water,V V Brown,Shark In The Water,V V Brown
Neighbors Know My Name,Trey Songz,Neighbors Know My Name,Trey Songz
Up On The Ridge,Dierks Bentley,Up On The Ridge,Dierks Bentley
Never Say Never,Justin Bieber Featuring Jaden Smith,Never Say Never,Justin Bieber
Young Forever,Jay-Z + Mr. Hudson,Young Forever,Jay-Z + Mr. Hudson
I Gotta Feeling,The Black Eyed Peas,I Gotta Feeling,The Black Eyed Peas
Outta Your Mind,Lil Jon Featuring LMFAO,Outta Your Mind,Lil Jon
Wrong Baby Wrong,Martina McBride,Wrong Baby Wrong,Martina McBride
I Can Do Anything,3OH!3,I Can Do Anything,3OH!3
TiK ToK,Ke$ha,TiK ToK,Ke$ha
Won't Back Down,Eminem Featuring P!nk,Won't Back Down,Eminem
Cold Wind Blows,Eminem,Cold Wind Blows,Eminem
Stay,Miley Cyrus,Stay,Miley Cyrus
I Keep On Loving You,Reba,I Keep On Loving You,Reba
Talkin' 2 Myself,Eminem Featuring Kobe,Talkin' 2 Myself,Eminem
Up All Night,Drake Featuring Nicki Minaj,Up All Night,Drake
25 To Life,Eminem,25 To Life,Eminem
I'm Back,T.I.,I'm Back,T.I.
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",I Made It,Kevin Rudolf
Bad Romance,Lady Gaga,Bad Romance,Lady Gaga
9 AM In Dallas,Drake,9 AM In Dallas,Drake
Hey,Lil Jon Featuring 3OH!3,Hey,Lil Jon
Fireworks,Drake Featuring Alicia Keys,Fireworks,Drake
Winner,Jamie Foxx Featuring Justin Timberlake & T .I.,Winner,Jamie Foxx
Another Way To Die,Disturbed,Another Way To Die,Disturbed
Lil Freak,Usher Featuring Nicki Minaj,Lil Freak,Usher
Solo,Iyaz,Solo,Iyaz
Finding My Way Back,Jaheim,Finding My Way Back,Jaheim
Faithfully,Glee Cast,Faithfully,Glee Cast
Over The Rainbow,Glee Cast,Over The Rainbow,Glee Cast
Any Way You Want It/Lovin' Touchin' Squeezin',Glee Cast,Any Way You Want It/Lovin' Touchin' Squeezin',Glee Cast
Don't Stop Believin',Glee Cast,Don't Stop Believin',Glee Cast
Bionic,Christina Aguilera,Bionic,Christina Aguilera
Not Myself Tonight,Christina Aguilera,Not Myself Tonight,Christina Aguilera
To Sir With Love,Glee Cast,To Sir With Love,Glee Cast
Bohemian Rhapsody,Glee Cast Featuring Jonathan Groff,Bohemian Rhapsody,Glee Cast
"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,"Beamer, Benz, Or Bentley",Lloyd Banks
Poker Face,Glee Cast,Poker Face,Glee Cast
I Gotta Get To You,George Strait,I Gotta Get To You,George Strait
Keep On Lovin' You,Steel Magnolia,Keep On Lovin' You,Steel Magnolia
Everything To Me,Monica,Everything To Me,Monica
Woohoo,Christina Aguilera Featuring Nicki Minaj,Woohoo,Christina Aguilera
Yeah Ya Know (Takers),T.I.,Yeah Ya Know,T.I.
Imma Be,The Black Eyed Peas,Imma Be,The Black Eyed Peas
Hey Daddy (Daddy's Home),Usher Featuring Plies,Hey Daddy,Usher
Baby,Justin Bieber Featuring Ludacris,Baby,Justin Bieber
You And Your Heart,Jack Johnson,You And Your Heart,Jack Johnson
Good Vibrations,Glee Cast,Good Vibrations,Glee Cast
Beautiful Day,Lee DeWyze,Beautiful Day,Lee DeWyze
Deja Vu,3OH!3,Deja Vu,3OH!3
Hallelujah,Lee DeWyze,Hallelujah,Lee DeWyze
Another One Bites The Dust,Glee Cast,Another One Bites The Dust,Glee Cast
Falling Slowly,Lee DeWyze & Crystal Bowersox,Falling Slowly,Lee DeWyze
Unstoppable,Rascal Flatts,Unstoppable,Rascal Flatts
Tell Me Something Good,Glee Cast,Tell Me Something Good,Glee Cast
Loser,Glee Cast,Loser,Glee Cast
"It's A Man's, Man's Man's World",Glee Cast,"It's A Man's, Man's Man's World",Glee Cast
Dirty Picture,Taio Cruz Featuring Ke$ha,Dirty Picture,Taio Cruz
Roger That,Young Money,Roger That,Young Money
Say Aah,Trey Songz Featuring Fabolous,Say Aah,Trey Songz
All The Right Moves,OneRepublic,All The Right Moves,OneRepublic
Carry Out,Timbaland Featuring Justin Timberlake,Carry Out,Timbaland
Bad Romance,Glee Cast,Bad Romance,Glee Cast
Up To The Mountain,Crystal Bowersox,Up To The Mountain,Crystal Bowersox
American Honey,Lady Antebellum,American Honey,Lady Antebellum
Beth,Glee Cast,Beth,Glee Cast
Leave Right Now,Will Young,Leave Right Now,Will Young
Ain't Back Yet,Kenny Chesney,Ain't Back Yet,Kenny Chesney
Highway 20 Ride,Zac Brown Band,Highway 20 Ride,Zac Brown Band
The Boxer,Lee DeWyze,The Boxer,Lee DeWyze
Touchin On My,3OH!3,Touchin On My,3OH!3
Dream On,Glee Cast Featuring Neil Patrick Harris,Dream On,Glee Cast
Who Dat,J. Cole,Who Dat,J. Cole
I Dreamed A Dream,Glee Cast Featuring Idina Menzel,I Dreamed A Dream,Glee Cast
Jessie's Girl,Glee Cast,Jessie's Girl,Glee Cast
Super High,Rick Ross Featuring Ne-Yo,Super High,Rick Ross
Neutron Star Collision (Love Is Forever),Muse,Neutron Star Collision,Muse
Say Something,Timbaland Featuring Drake,Say Something,Timbaland
Safety Dance,Glee Cast,Safety Dance,Glee Cast
Steady Mobbin',Young Money Featuring Gucci Mane,Steady Mobbin',Young Money
Hell On The Heart,Eric Church,Hell On The Heart,Eric Church
Blah Blah Blah,Ke$ha Featuring 3OH!3,Blah Blah Blah,Ke$ha
Pyramid,Charice Featuring Iyaz,Pyramid,Charice
A Little More Country Than That,Easton Corbin,A Little More Country Than That,Easton Corbin
Today Was A Fairytale,Taylor Swift,Today Was A Fairytale,Taylor Swift
Window Seat,Erykah Badu,Window Seat,Erykah Badu
Backwoods,Justin Moore,Backwoods,Justin Moore
Naturally,Selena Gomez & The Scene,Naturally,Selena Gomez
BedRock,Young Money Featuring Lloyd,BedRock,Young Money
Live Like We're Dying,Kris Allen,Live Like We're Dying,Kris Allen
One,Glee Cast,One,Glee Cast
Total Eclipse Of The Heart,Glee Cast Featuring Jonathan Groff,Total Eclipse Of The Heart,Glee Cast
Drop The World,Lil Wayne Featuring Eminem,Drop The World,Lil Wayne
