song,artist,genre
We Weren't Born To Follow,Bon Jovi,Rock
Wild Horses,Susan Boyle,
Break Up,Mario,R&B
Hotel Room Service,Pitbull,Rap/Hip Hop
Lean On Me,Glee Cast,Pop
Don't Stand So Close To Me / Young Girl,Glee Cast,Pop
I'll Stand By You,Glee Cast,Pop
Defying Gravity,Glee Cast,Pop
Endless Love,Glee Cast,Pop
Down To Earth,Justin Bieber,Pop
5 Star,Yo Gotti,Rap/Hip Hop
Only You Can Love Me This Way,Keith Urban,Country
Welcome To The Future,Brad Paisley,Country
Bigger,Justin Bieber,Pop
The Invitation,50 Cent,Rap/Hip Hop
First Dance,Justin Bieber,Pop
Love Drunk,Boys Like Girls,Alternative
Good Girls Go Bad,Cobra Starship,Alternative
Good Life,OneRepublic,Rock
Favorite Girl,Justin Bieber,Pop
Successful,Drake,Rap/Hip Hop
Whatever You Like,Anya Marina,Alternative
God In Me,Mary Mary,Christian
Jump Then Fall,Taylor Swift,
American Ride,Toby Keith,Country
Undertow,Timbaland,Pop
Throw It In The Bag,Fabolous,Rap/Hip Hop
21 Guns,Green Day,Alternative
Untouchable,Taylor Swift,
Starstrukk,3OH!3,Alternative
Number One,R. Kelly,R&B
Face Drop,Sean Kingston,Pop
Ain't No Rest For The Wicked,Cage The Elephant,Alternative
The Other Side Of The Door,Taylor Swift,
Runaway,Love,Country
Forever & Always,Taylor Swift,Pop
Superstar,Taylor Swift,
Come In With The Rain,Taylor Swift,
Be On You,Flo Rida,Rap/Hip Hop
La La La,LMFAO,Electro
Under,Pleasure P,R&B
Good Morning,Chamillionaire,Rap/Hip Hop
You're A Jerk,New Boyz,Rap/Hip Hop
Sweet Caroline,Glee Cast,Pop
I Know You Want Me,Pitbull,Rap/Hip Hop
Boom Boom Pow,The Black Eyed Peas,
Knock You Down,Keri Hilson,R&B
Big Green Tractor,Jason Aldean,Country
Time For Miracles,Adam Lambert,Dance
Never Say Never,The Fray,Rock
Take Your Shirt Off,T-Pain,Rap/Hip Hop
LOL :-),Trey Songz,R&B
Bust A Move,Glee Cast,Pop
Honky Tonk Stomp,Brooks,Country
I Want To Know What Love Is,Mariah Carey,Pop
Best I Ever Had,Drake,Rap/Hip Hop
No Surprise,Daughtry,Pop
Keep Holding On,Glee Cast,Pop
No Air,Glee Cast,Pop
Small Town USA,Justin Moore,Country
It's My Life / Confessions Part II,Glee Cast,Pop
Nobody,Wonder Girls,Asian Music
Chances,Five For Fighting,Pop
Halo / Walking On Sunshine,Glee Cast,Pop
Hell Of A Life,T.I.,
Notion,Kings Of Leon,Alternative
Battlefield,Jordin Sparks,Pop
Please Don't Leave Me,P!nk,Pop
Ice Cream Paint Job,Dorrough,Rap/Hip Hop
Somebody To Love,Glee Cast,Pop
Love Your Love The Most,Eric Church,Country
Sounds Like Life To Me,Darryl Worley,
The Fixer,Pearl Jam,Alternative
I'm In Miami Trick,LMFAO,
Check My Brain,Alice In Chains,Rock
Waking Up In Vegas,Katy Perry,Pop
Pretty Wings,Maxwell,R&B
Alone,Glee Cast,Pop
Her Diamonds,Rob Thomas,Pop
New Divide,Linkin Park,Rock
Careful,Paramore,Alternative
Maybe This Time,Glee Cast,Pop
Living For The Night,George Strait,Country
I'll Just Hold On,Blake Shelton,Country
Boots On,Randy Houser,Country
Trust,Keyshia Cole Duet,
